head	rel	tail
21016	3	26142
8142	25	5197
27737	108	17247
3093	129	22129
10967	95	865
25720	129	12456
12510	33	24275
9538	27	17144
9072	61	27775
6360	49	16893
8915	5	20004
25684	62	2393
26070	70	7367
18470	25	16627
4499	70	11651
2906	93	24502
8850	36	11195
21443	117	5163
9222	3	15249
7315	62	8198
16489	39	24208
15993	58	21268
20158	120	20931
484	62	2393
7963	124	776
1571	4	18767
11137	118	3464
15644	121	7091
20295	120	2111
22363	53	11993
12949	119	23012
23843	120	2111
21362	120	20931
27870	33	24275
7228	118	3464
19563	70	21113
18933	102	26827
26675	27	19990
19096	106	24185
768	3	23029
27345	85	16893
13293	25	27044
11818	77	4383
13064	61	27775
17968	16	11124
1335	129	26410
14782	110	17270
24572	16	11124
14738	93	24502
10612	118	2515
14110	16	11124
18140	117	5163
9231	71	2111
4480	120	2111
19746	70	11862
22506	36	15302
7585	103	3709
26325	119	15302
23504	5	6548
25980	48	1730
17521	62	13868
8474	120	12461
11222	83	5163
15204	96	23999
8542	15	25350
8734	115	22468
4810	107	26390
15834	61	16535
10815	110	13620
12223	115	22468
5585	94	25731
5181	9	22468
16068	71	7589
16212	78	3464
11959	116	23845
335	62	776
12414	16	11124
3889	121	24232
6469	115	22468
20581	90	2442
12457	33	24275
26552	115	22468
27439	95	865
18581	110	25454
7478	48	3221
8370	118	17880
13285	16	11124
485	28	708
16530	26	25388
7452	62	11531
24264	23	26827
17359	48	2846
11179	28	8196
11168	85	16893
6997	36	26516
1030	48	12456
24595	53	8002
1304	16	11124
7562	33	24275
8959	35	17996
27305	70	11862
16234	93	26886
18671	103	3709
8788	83	8887
7284	128	13667
18081	102	2111
744	27	12925
10659	115	22468
3082	33	24275
2772	62	24430
24485	109	4418
13903	118	23748
12012	90	26716
25936	61	16823
25541	16	26347
11910	5	6548
25137	25	101
18505	3	13735
17428	106	24185
20001	124	5183
13215	3	11214
13042	25	14330
19098	49	15249
24021	131	1730
7157	30	21366
705	5	19835
12433	120	2111
12706	109	6153
10075	16	11124
15690	2	23982
1450	53	865
20176	119	15302
27849	33	24275
12562	36	22126
19006	16	11124
16391	108	17247
18652	48	17880
1921	108	17247
25367	115	22468
6408	5	20004
18967	48	17880
18317	16	11124
2855	5	20004
9396	27	23542
18994	3	23029
3541	48	26541
11840	33	24275
26768	16	6793
24676	119	3507
4126	70	16823
18930	119	23012
2601	5	20004
26200	119	15302
5797	115	22468
10292	25	2526
18683	85	16893
10576	16	11124
26963	16	11124
1815	85	15249
8659	33	24275
17807	5	20004
23059	70	21973
24545	115	22468
26576	62	22718
9176	25	101
5077	53	2846
27252	131	3368
18403	129	712
26767	53	7678
11095	23	7098
6960	118	14949
24487	90	21366
3138	85	16893
22405	16	11124
17833	120	17868
8302	88	8452
16485	62	22718
13362	37	12827
148	120	2111
4960	25	5197
5675	124	2393
19665	72	7653
5759	121	24232
9616	39	12827
9822	124	2393
24851	27	12925
23145	7	24183
19912	124	22718
8786	70	12765
24253	94	17877
24862	84	794
10885	103	3709
15368	12	6548
17415	25	2526
15413	124	2393
25793	39	24208
14444	33	24275
13311	28	24284
2420	61	27775
2311	71	2111
17712	48	17880
15257	119	23012
4004	83	5163
23723	67	13667
17854	62	16772
17140	131	9444
8287	109	12765
18064	23	5855
11824	124	2393
21134	85	15249
11068	25	18597
3445	124	2393
23386	62	16772
3279	70	1227
9231	95	5970
25744	19	15071
4708	106	24185
17538	115	22468
20588	36	7572
24055	62	2393
21921	33	24275
27261	23	5855
6089	124	19303
21468	3	16893
12667	36	12964
23072	33	24275
19015	119	23012
234	119	221
17666	62	8198
27292	71	2111
22099	71	2111
5702	16	11124
4966	117	12311
25024	103	3709
27404	115	22468
12850	115	22468
9354	83	19811
9821	25	14737
385	108	17247
10021	115	22468
4045	115	22468
11071	33	24275
10212	51	20747
7966	124	2393
13013	77	9444
227	16	11124
16454	25	1923
15534	70	27775
13755	5	19835
16411	16	11124
3701	115	22468
12878	118	5998
5167	62	25328
24055	85	16893
6397	85	16893
18225	88	8452
8938	6	14953
12800	95	2412
19039	93	24502
12268	95	11195
26111	33	24275
14885	53	24370
2365	5	19835
16736	70	1227
26034	115	22468
19705	90	21366
23593	62	15672
13957	16	11124
23171	65	22895
11005	69	1700
2906	53	5970
5554	93	24502
13435	53	14032
13591	106	24185
19607	115	22468
16029	25	27044
3214	119	23012
8329	108	17247
8528	31	27668
1232	115	22468
723	3	11214
16241	95	21366
25970	25	22824
20531	83	13452
5729	53	21366
16021	85	9415
6390	115	22468
13513	28	15084
1045	48	22843
18456	36	26516
10831	115	22468
2465	108	3986
13770	70	17632
1858	62	2393
1145	120	2111
8555	93	21023
18237	71	2111
10869	70	27775
26482	124	8198
22721	93	24502
17392	13	1653
11125	25	5034
19768	70	11862
4140	106	24185
4684	33	24275
12162	16	11124
1177	77	1943
13491	115	22468
15473	6	13394
9813	120	12461
1228	33	24275
24942	6	14953
4079	36	3464
20577	3	11214
7498	131	18159
19729	70	13394
1181	36	1943
3511	72	13307
17244	90	13667
14759	61	27775
14228	23	26827
23007	91	2015
507	16	11124
3535	58	21268
10090	109	26871
25232	115	22468
2561	3	16893
19441	7	5811
27899	118	17880
11733	62	1202
18755	3	1233
26908	49	15249
17068	62	10229
14575	90	2412
19703	25	8248
5696	16	11124
11606	70	11651
16182	15	16447
9794	3	9415
9359	28	27282
14736	28	20427
15056	115	22468
2571	25	19673
8774	124	5518
3602	33	24275
19414	100	11877
12430	28	26433
17695	3	15249
9640	70	1227
25669	70	27775
10967	117	5163
2919	120	2111
6687	3	3817
22365	39	24208
1356	106	24185
22648	70	17970
3616	120	2111
19868	121	7091
25457	117	5163
2193	50	21141
14715	119	16941
12483	25	101
5851	61	27775
14489	119	15302
16716	124	2393
25970	85	11214
3127	118	3464
1270	93	26886
8010	70	14953
4855	117	5163
9737	7	24375
26650	48	4184
1056	119	10246
14178	93	24502
2914	7	4842
26896	77	22126
8668	115	22468
27414	39	12827
4720	71	2111
17725	33	24275
6821	109	4418
15699	53	24370
11031	102	26827
6641	25	101
21730	72	25152
369	28	2136
10064	95	19501
20657	25	23150
6459	127	24932
5080	115	22468
15509	59	8002
11773	33	17785
2402	5	6548
24725	25	2526
12625	2	23982
11713	118	12456
12635	2	13044
14144	77	1943
1453	93	26716
16698	49	15249
14126	115	22468
11557	106	24185
15094	86	8831
18600	88	8452
723	33	24275
17436	78	712
22297	124	5518
19092	39	24208
22633	120	17868
15731	3	11214
18901	5	20004
7768	102	5855
16122	25	101
16002	15	16447
5844	115	22468
26170	107	26390
15409	66	5047
24139	131	5171
812	64	612
24786	62	19303
4461	124	4357
22124	33	24275
16734	115	22468
14409	16	11124
1390	33	24275
4041	70	27775
18658	16	11124
8302	5	19835
6629	3	24375
20029	66	6039
22897	124	10229
11829	118	3464
13791	87	3709
1672	127	9852
4770	62	5833
22922	20	10428
3346	93	24502
23083	124	15672
25770	115	22468
14382	39	12827
8896	3	23029
24865	64	2217
26962	3	11214
8345	70	7367
14952	62	10965
9283	58	21268
22659	4	18767
2967	71	2111
19099	33	24275
20739	5	20004
3095	48	17880
13497	121	24232
22756	109	26871
14736	28	3119
15713	49	15249
12387	110	13620
4831	83	19811
5582	53	7678
4840	131	5171
25921	23	13996
5402	25	4873
25329	3	25832
21533	39	24208
19612	95	23878
25840	124	10229
6943	120	2111
7786	70	11862
21894	70	7367
14227	62	13868
9859	61	11541
24770	83	5163
1689	124	2393
2568	70	3817
11967	72	13307
5164	23	7098
11532	16	11124
11486	71	2111
25510	93	24502
13197	84	794
4511	53	2412
8237	16	11124
23633	124	13418
17954	5	19835
18089	3	11214
24157	107	26390
26397	83	5163
15636	61	27775
5910	60	3660
21184	16	11124
20545	33	24275
2867	53	11993
18582	116	23845
11793	30	8002
19328	31	1554
8846	120	2111
24520	119	23012
27382	120	2111
19351	27	16818
3302	118	5998
20529	33	24275
27204	71	2111
14510	124	2393
1524	115	22468
17432	70	13008
25068	115	22468
18792	16	11124
3034	47	1472
2516	70	27775
7225	33	24275
15648	95	4320
6810	33	24275
15694	118	2515
4441	49	15249
23771	70	16484
16962	95	1147
27652	62	22965
18346	116	23845
13285	33	24275
4562	53	14806
12975	106	24185
12123	124	2393
21991	62	2393
2306	103	3709
14874	31	27668
18674	93	24502
1495	70	16335
15413	120	2111
8590	129	12885
10617	7	24375
15295	107	13620
17997	49	16893
3947	120	17868
19182	83	5163
7842	85	16893
17006	53	8002
23921	3	15249
25680	70	27775
4460	124	15672
23985	95	25913
18321	33	24275
18881	7	24375
25783	39	12827
22831	39	12571
4562	70	21320
23404	93	21023
22875	102	7098
12894	71	2111
23519	40	16823
14870	53	8108
23865	129	26410
19400	7	24375
10078	49	16893
13356	115	22468
11741	64	2217
6042	39	24208
26436	3	22177
18956	120	12461
17757	36	19811
13988	119	23012
18613	2	9562
10086	20	3709
26205	120	2111
12138	25	10032
25840	49	16893
1844	16	11124
7421	23	26827
19957	46	17996
23889	119	10246
19873	28	1383
8889	53	2412
9759	97	7678
11046	3	20161
7236	109	4418
9765	58	2111
629	106	24185
3706	95	3478
20438	115	22468
18386	135	22468
6530	15	16447
27503	70	24849
15741	70	27775
26286	16	11124
17634	49	3817
21989	25	101
15251	5	6548
21421	33	17785
15683	70	7367
3508	25	9417
21384	5	6548
18411	58	2848
10688	85	19536
25322	5	20004
12835	115	22468
10541	84	794
2000	118	1632
8619	53	21366
6278	124	15672
17416	118	3464
250	36	12456
12985	117	5163
3204	5	9521
4535	48	4184
9169	71	2111
7307	5	9521
12576	61	19853
27235	5	9521
24272	107	3281
14026	121	7091
27248	117	5163
21594	103	3709
18562	33	24275
1184	25	21817
4739	71	2111
25055	5	19835
2731	77	22126
18107	5	6548
15454	33	24275
9651	53	2846
7146	5	9521
1636	36	1999
7814	62	19303
11577	84	22013
14339	53	13667
5750	2	23982
9633	58	2848
24014	23	5855
24388	53	11993
16107	33	24275
4575	115	22468
16235	124	19303
16512	61	19853
12973	120	4589
16940	4	18767
21929	108	17247
7685	103	3709
10928	115	22468
21121	85	16893
14225	27	9058
12090	70	1227
20282	25	12307
24435	93	21023
21451	61	16823
26135	119	23012
1716	31	27668
22969	120	2111
14045	120	2111
26968	115	22468
2892	70	27775
7928	93	21023
24074	48	2524
5554	31	18234
15806	102	5855
12219	95	11195
8371	33	24275
11738	27	12925
3808	3	11214
14492	118	1756
1022	102	7098
7738	31	18234
26434	3	11214
607	33	24275
16073	135	22468
22377	102	7098
1788	6	13394
25160	25	9020
10680	103	3709
4915	124	19303
13010	16	11124
22624	51	20747
22511	70	7367
5173	119	15302
9424	3	11214
12125	33	24275
13392	120	2111
19399	31	21268
18110	95	15314
9510	83	19811
347	108	17247
26761	36	22243
1818	95	4581
6749	62	2393
21515	83	19811
10862	124	15672
10921	33	24275
14602	3	13735
7219	36	5163
16547	120	2111
13198	45	8518
12240	3	11214
23267	107	13620
13207	33	24275
4941	88	8452
20366	33	24275
23972	33	24275
14381	27	12925
9209	60	16923
15545	72	13307
18724	62	24838
13597	108	17247
21942	58	21268
14082	124	2393
6059	33	24275
1203	9	22468
1444	115	22468
13962	111	1700
11844	124	15672
13628	30	21366
11296	115	22468
17941	53	13667
19774	70	7367
20060	62	8198
8662	6	6682
21208	102	5855
13546	33	24275
9035	106	24185
17399	11	24185
22113	3	13735
13634	3	23029
2573	9	22468
3163	128	23231
17705	27	17144
2541	33	24275
5423	70	16823
15368	116	24185
15328	120	2111
11133	25	9775
19252	25	22817
18924	117	5163
15912	48	26541
900	84	21100
24863	16	11124
5706	33	24275
3500	70	1227
22669	33	24275
9874	120	2111
22527	95	1147
6041	85	11214
17748	120	20931
14702	120	2111
9827	72	11579
18504	16	11124
17635	39	12827
11130	62	9601
24632	33	17785
9181	53	21366
3659	118	26516
17882	71	6364
17064	70	7367
1982	25	22824
21923	127	5731
7727	115	22468
9607	124	15672
12481	33	17785
19147	108	17247
19799	3	11214
14422	118	3464
23950	93	20382
18425	53	7678
355	124	22718
12035	58	2848
6953	16	11124
13649	16	11124
3633	95	8906
19487	48	22843
24053	106	24185
8842	124	8198
13480	132	25023
14490	83	5163
3161	95	21366
21892	115	22468
8734	103	3709
6495	4	18767
690	5	6548
17903	33	24275
10763	95	13459
3661	115	22468
20236	115	22468
3915	102	7098
2373	129	9326
3794	7	24375
12605	120	2111
13320	119	4961
10360	115	22468
466	117	5163
27457	25	2526
10345	25	101
17069	108	17247
10002	33	24275
27708	124	10965
4720	5	6548
11992	95	2412
6538	119	15302
19161	40	803
21841	2	9562
10012	118	5998
12179	16	11124
10610	16	11124
23481	106	24185
26557	121	24232
22344	13	8490
10351	62	15672
7482	16	11124
21943	31	21268
3217	83	5163
231	3	11214
14793	64	612
7035	71	18672
15703	15	16447
20986	120	2111
10730	124	7106
17456	62	2393
14834	120	2111
2279	5	20004
24680	62	19303
2753	115	22468
3930	70	1227
12254	62	2393
16085	25	27044
9167	120	2111
4855	71	23235
22161	16	11124
171	103	3709
17204	109	26871
1310	102	7098
12194	107	13620
18755	106	24185
398	62	2393
5357	115	22468
9728	25	9417
5083	16	11124
9237	39	24208
21051	47	19152
12486	6	13394
22927	70	14953
13931	3	11214
8428	109	26871
15956	27	12925
21218	27	16818
15116	16	11124
7246	78	3464
16133	114	20059
25666	83	5163
14690	25	4785
2295	120	20931
19739	53	11993
12346	3	15249
21299	116	24185
20370	33	24275
8095	119	23012
26567	27	23542
19050	28	1383
23934	102	22054
24819	39	24208
25379	124	15672
12041	95	22008
14798	19	2750
23068	53	9381
23792	120	2111
3687	131	22126
15660	111	1700
9658	93	26716
14056	5	6548
6520	115	22468
545	3	11214
24655	118	8131
16662	53	8002
14923	83	8755
2067	16	11124
16325	49	15249
1635	109	26871
27399	36	3464
22742	72	7653
8913	27	23182
113	70	21556
5027	25	101
2762	93	21023
25667	120	12461
15662	2	12743
3616	119	23012
14878	33	24275
21756	124	2393
12306	61	27775
11332	23	9299
9349	62	11381
19733	124	13418
20057	58	2848
10438	62	15672
7777	83	19811
6230	16	11124
1737	85	19536
1679	48	1379
14577	5	9521
12231	48	12514
113	133	18525
16486	70	27775
26443	33	24275
8082	53	16826
14771	72	2860
9188	6	6682
23538	33	24275
4864	5	11124
13673	5	19835
18587	110	13620
27765	129	12456
12357	27	12925
271	23	2111
18773	85	15249
4719	124	2393
9543	5	6548
21979	33	24275
15755	53	7678
7284	95	2412
4948	83	19811
3436	62	19303
25272	40	11541
26762	33	24275
9917	5	19835
7185	71	2111
11553	83	5163
21280	70	7367
7568	118	3464
2067	25	23150
6869	93	21023
11737	124	16025
15635	120	2111
4770	36	10621
17887	103	3709
26502	5	6548
18612	7	18189
24756	25	16419
19386	118	17880
22891	115	22468
7984	36	21377
12482	118	3464
3821	33	24275
22459	23	2376
7858	33	17785
25544	115	22468
18628	33	23659
15835	65	18656
6749	5	9521
21747	70	7367
6506	53	16681
17226	106	24185
9247	62	11962
10875	39	12827
4740	28	3231
13119	2	26827
22517	70	195
5979	49	16893
408	28	5586
11068	119	23012
19011	115	22468
16645	12	20004
24001	39	24208
11346	115	22468
13318	106	24185
22069	83	5163
24919	25	20664
23700	33	24275
7595	68	21966
12909	62	22965
16524	16	11124
6783	106	24185
19633	58	2111
7877	5	19835
18514	74	13421
24583	118	3464
16215	4	18767
9652	124	2393
5194	39	12827
4643	115	22468
21560	16	11124
2373	62	6751
15695	3	4954
4584	118	3464
13983	115	22468
25862	62	23787
20484	124	7106
12847	53	16382
18787	28	6551
15549	108	17247
5767	110	13620
1385	124	5183
22975	85	23029
4913	62	1202
15485	20	10732
24875	62	8198
20699	106	22468
6385	7	24375
23213	110	17270
16558	5	9521
25490	39	24208
18515	70	3817
20554	7	5811
7700	3	15249
9940	25	101
21110	7	18189
10388	36	12456
27005	77	3368
2513	33	24275
18294	16	11124
23424	106	24185
6318	70	15428
1359	124	23787
1787	23	26827
13743	70	21556
10214	12	20004
9886	118	3464
22756	85	16893
9673	36	18166
15269	16	11124
24377	33	24275
8682	3	15249
21682	119	22524
25299	115	22468
7640	83	13452
10196	28	8050
20779	103	19942
2230	13	12003
13912	61	27775
20166	62	11962
23151	39	24208
7154	115	22468
19355	62	9601
13840	31	27668
4533	53	11993
20879	39	24208
22507	118	23748
13505	53	21366
12736	93	21023
24041	115	22468
1963	23	26827
27448	33	24275
13747	54	13294
19079	118	17880
961	95	11993
9082	119	23012
21574	16	11250
15131	120	17868
24946	70	16484
17526	53	9381
7476	118	5998
5807	128	7299
12136	62	24430
21698	16	11124
8766	2	23982
16472	7	5811
21348	53	11993
27497	3	11214
14411	108	17247
1229	27	12925
12125	72	7653
26171	95	21366
13439	3	23029
4230	93	21023
8096	62	19303
3253	36	11195
17528	27	12925
21383	102	2111
3381	71	2111
23146	108	3986
6675	36	5163
6618	36	26541
6388	58	2111
15365	5	9521
18377	109	17355
25279	93	21023
23308	70	16335
19318	27	12925
24676	121	8755
24997	120	2111
1058	88	8452
7540	93	24502
21495	62	26245
26777	24	26871
10938	62	2393
1060	119	23012
27610	70	17577
8574	95	25913
4196	52	15445
2237	70	16823
22445	124	22718
15394	70	27775
22622	16	4912
4512	115	22468
13376	33	24275
13713	103	3709
14775	62	5183
8411	85	11214
11963	93	24502
17233	93	21023
3919	62	22718
24306	70	27775
23300	5	19835
15806	25	17746
21078	5	6548
9242	108	3986
1418	31	21268
739	23	2111
1897	85	11214
6007	116	24185
26560	40	11541
20166	93	24502
1625	27	11842
16246	62	10965
2784	110	13620
8932	118	3464
22751	63	47
3064	5	19835
18244	31	1554
11340	5	19835
15234	15	14000
21412	118	3464
15607	33	24275
20314	5	19835
4361	115	22468
6865	40	11541
25987	120	20995
7649	53	9381
17511	102	5855
6216	3	15249
20508	48	6036
26644	5	9521
13539	93	21023
6948	115	22468
2443	25	18502
22797	115	22468
22968	115	22468
10816	16	11124
26437	71	24059
3485	115	22468
22181	82	13281
23376	95	25913
26259	53	7678
26357	103	3709
3177	5	19835
17981	2	26827
1058	85	16893
20932	83	21125
18703	119	23012
1	70	3817
18472	120	2111
23038	106	22468
8346	53	13667
11469	53	11993
24731	95	27329
5257	120	17868
22073	118	3464
19699	62	13868
12408	62	22965
3311	25	2738
3315	33	24275
9967	53	11993
18893	120	12461
3088	53	16382
26212	3	11214
27810	5	20004
8109	93	24502
17414	49	16893
4761	131	22126
21781	70	5930
844	25	11560
22654	61	11541
24357	25	20969
11918	39	12827
13961	36	2846
10591	124	25328
20536	70	13249
19173	62	2393
27721	16	11124
12338	16	11124
10560	6	14953
24616	115	22468
12063	109	18285
2549	16	11124
21216	70	11651
13572	109	1765
19522	95	2897
6389	33	24275
19224	27	2327
3952	51	20747
18277	129	5171
27306	6	13394
15851	70	6353
14710	27	17144
25166	33	24275
1995	88	8452
198	31	21268
2493	5	11124
8648	70	7367
15475	3	15249
1838	27	23542
13090	120	2111
6560	35	17996
22550	102	5855
17613	3	16893
6209	53	2412
23374	115	22468
26972	53	11195
10967	120	2111
11510	95	2412
26929	106	24185
9248	62	8198
7621	3	11214
12088	33	24275
20442	118	5998
5312	27	16818
18601	124	8198
12162	124	13418
12848	11	22468
7614	119	23012
11083	117	19005
24789	5	9521
17281	50	2010
19276	115	22468
27024	61	27775
24865	106	24185
8484	36	23070
23454	62	2393
25170	61	16823
23696	33	24275
23699	49	16893
16729	63	14809
7979	93	24502
10144	33	24275
21469	25	10166
3226	33	24275
4123	5	6548
18556	124	5183
20605	115	22468
3780	127	25644
2616	129	12456
10317	33	24275
14530	102	7098
13554	16	11124
7067	103	3709
9551	70	17632
26749	53	24683
4328	33	24275
24282	25	22955
13531	11	22468
10281	48	1730
27439	119	26906
16712	119	23012
10911	115	22468
15628	16	11124
19581	70	27775
20095	25	101
16477	72	13307
17332	25	2738
20217	5	20004
7836	85	16893
18320	83	5163
19156	118	3464
7294	119	24327
27105	48	12456
5421	117	19005
26968	13	13358
18915	36	9326
8547	62	2393
24194	16	22147
3975	103	3709
23124	70	15505
2503	39	24208
20959	124	2393
27139	124	2393
17260	72	6331
2578	25	23150
20913	5	6548
3300	25	8866
18306	70	14953
17193	126	23577
12998	47	27859
8824	62	8198
8581	102	2111
12948	118	3464
14100	93	21023
5653	53	25760
19273	120	2111
7529	16	11124
15354	61	11541
9396	25	5090
22950	3	11214
7606	115	22468
25252	121	24232
993	5	6548
8470	128	13667
889	16	11124
15187	5	9521
1498	16	11124
17995	53	8002
22532	53	14774
4408	53	8002
23024	134	17980
15861	103	3709
12795	120	2111
920	7	19292
24005	25	9991
12299	5	20004
8256	118	3464
5887	28	12682
22666	102	5855
6874	33	24275
230	53	2412
15486	3	9415
19504	16	6793
27513	95	27277
20327	46	17996
21237	33	24275
12375	83	5163
5862	115	22468
1746	124	25328
22202	124	2393
19728	49	15249
8528	78	3121
26471	70	13394
6083	90	1559
5625	53	24370
22412	36	1943
24147	83	8887
5614	53	5956
6537	85	11214
3967	36	22126
25859	95	24370
22071	62	13418
7984	115	22468
11797	61	27775
20418	119	21269
21254	6	6682
13560	120	2111
11004	25	13359
25848	3	15249
10257	5	6548
15703	115	22468
3072	93	24502
10258	39	24208
11657	16	26347
11940	37	12827
3004	102	5855
18940	135	22468
14443	95	6270
1440	6	13394
26582	121	24232
24119	36	2846
27536	62	14
16716	25	1171
13756	5	19835
23114	131	3368
4144	70	1227
22166	106	24185
26562	19	19146
19227	124	2393
18607	133	16382
2401	102	7098
21178	120	2111
13387	16	11124
20650	115	22468
14016	77	1943
27312	116	23845
10586	33	24275
13855	16	23866
3025	124	15672
26831	3	15249
12757	6	14953
12102	115	22468
21441	117	5163
22936	27	16249
4848	74	18823
6103	62	2393
26034	124	25328
16964	3	13735
14653	33	24275
26188	20	10732
25387	124	16025
17671	36	17880
17992	53	18768
23220	70	27775
27898	120	2111
17002	102	26827
23290	31	21268
18106	124	10747
23424	115	22468
548	16	7292
26294	5	6548
24775	27	23542
9166	5	6548
11718	70	7367
2040	135	22468
6957	4	18767
11503	124	8198
25169	97	11993
4597	5	20004
22536	6	14953
6727	5	9521
4753	11	22468
6930	109	26871
9843	103	3709
2559	70	7367
15684	50	3406
23434	20	3709
25607	119	23012
10667	54	252
3269	118	13868
20913	23	26827
19068	33	17785
13502	61	17632
5977	33	24275
14067	73	8393
3092	53	21366
16578	107	19811
13513	62	10965
13813	124	2393
17318	11	22468
3552	115	22468
18026	94	18687
19319	33	24275
23185	115	22468
19741	2	26827
11093	39	12827
24661	5	20004
3696	85	13735
15354	53	7678
2674	95	8584
2006	3	11214
3136	93	21023
15586	16	11124
4980	124	23311
18117	36	5163
23291	129	2846
16131	120	2111
11988	124	5518
27574	115	22468
24335	27	16249
8511	127	5731
21615	71	2111
1163	124	15672
19336	25	101
11288	95	8906
1054	115	22468
10335	62	2393
1764	53	11993
20869	4	18767
10340	62	9601
17544	23	2111
26327	124	10229
7728	117	19005
13968	72	7653
16795	33	17785
7479	85	16893
8283	95	11195
2237	30	11993
22448	45	21852
7236	39	12827
2276	120	2111
26501	121	24232
16778	49	15249
25562	3	20161
25329	120	2111
19634	16	11124
24122	71	2111
21022	33	24275
15493	120	2111
19981	124	19303
3092	109	2111
15134	95	8002
11191	31	27668
8610	119	23012
23063	48	330
20917	5	20004
10530	62	15672
2630	49	20161
22532	62	5518
12318	85	11214
14178	115	22468
27529	118	3464
9558	62	2393
18504	70	7653
19696	33	24275
14464	62	22965
27054	124	13418
15216	118	18524
3696	3	16893
947	23	2111
18109	119	23012
3883	103	3709
6060	120	2111
11907	28	15717
12708	16	11124
4171	28	12539
21461	115	22468
25294	23	7098
27214	5	9521
13382	3	16893
12170	118	5998
26088	115	22468
8686	106	24185
17215	115	22468
25849	40	11541
24286	49	15249
23161	118	3464
21227	72	13307
26859	126	14333
9042	33	24275
24752	95	8584
19185	120	2111
24729	119	23012
9571	7	24375
9638	88	5049
9251	31	21268
15229	53	8002
24322	25	9016
23492	33	24275
22305	61	27775
11834	6	13394
4128	5	9521
16340	76	22468
24241	62	24430
3055	131	397
24862	70	16335
11528	62	15672
6031	33	24275
23607	3	18189
4307	103	3709
14679	25	18318
7242	124	8198
21309	66	12413
10447	70	7367
18025	119	26906
7158	25	24707
19458	53	8002
6663	23	2111
22541	3	553
6860	132	7397
16298	110	13620
20219	120	2111
17972	3	13735
8071	72	7653
16036	5	6548
18793	62	2393
12559	48	14540
7063	4	18767
7181	131	12456
21234	33	24275
17052	3	15249
22209	31	27668
1520	62	2393
8846	95	1147
13430	93	24502
10410	115	22468
18829	33	11202
7133	97	13479
24156	33	24275
12629	124	2393
5083	33	24275
1357	124	25328
22373	70	7367
6208	115	22468
10438	36	17880
20604	58	2111
10148	124	8198
22768	4	18767
11151	3	11214
13678	30	21366
10274	41	23453
21632	58	21147
11467	84	794
8429	16	11124
5790	62	10229
5541	53	26994
4329	5	6548
25046	62	20640
3768	27	12925
2792	7	588
21476	30	15716
5188	115	22468
1404	120	2111
2984	117	5163
15993	16	11124
15591	33	24275
1286	115	22468
17897	109	26871
4114	53	8002
12919	112	26186
664	15	16447
15728	3	11214
10984	115	22468
6077	62	24805
